Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,a6,9,2024-01-21t09:55:00.000,2024-01-21t09:55:00.000,2024-01-21t10:04:00.000,yyz,3,2024-01-21t11:31:00.000,2024-01-21t10:55:00.000,air transat,7712,ts7712
departure,active,yul,a17,0,2024-01-21t10:00:00.000,2024-01-21t10:00:00.000,,yvp,,2024-01-21t12:20:00.000,,canadian north,162,5t162
departure,active,yul,c76,70,2024-01-21t10:00:00.000,2024-01-21t11:10:00.000,,tpa,,2024-01-21t13:45:00.000,,air canada rouge,1616,rv1616
departure,active,yul,a61,40,2024-01-21t10:00:00.000,2024-01-21t10:00:00.000,2024-01-21t10:40:00.000,puj,a,2024-01-21t15:30:00.000,2024-01-21t15:48:00.000,sunwing,428,wg428
departure,active,yul,a30,34,2024-01-21t10:00:00.000,2024-01-21t10:15:00.000,2024-01-21t10:33:00.000,yzv,,2024-01-21t11:41:00.000,2024-01-21t11:53:00.000,air canada,7988,ac7988
departure,active,yul,c86,17,2024-01-21t10:15:00.000,2024-01-21t10:15:00.000,2024-01-21t10:32:00.000,lga,c,2024-01-21t11:58:00.000,2024-01-21t11:27:00.000,westjet,6949,ws6949
departure,active,yul,a47,29,2024-01-21t10:20:00.000,2024-01-21t10:58:00.000,2024-01-21t10:48:00.000,yyz,1,2024-01-21t11:56:00.000,2024-01-21t11:44:00.000,sa avianca,6917,av6917
departure,active,yul,c85,54,2024-01-21t10:20:00.000,2024-01-21t10:48:00.000,2024-01-21t11:14:00.000,tpa,,2024-01-21t13:57:00.000,2024-01-21t14:29:00.000,lynx air,665,y9665
departure,active,yul,a21,32,2024-01-21t10:30:00.000,2024-01-21t10:30:00.000,2024-01-21t11:02:00.000,ypx,,2024-01-21t13:10:00.000,2024-01-21t13:22:00.000,air inuit,700,3h700
departure,active,yul,a4,24,2024-01-21t10:30:00.000,2024-01-21t10:30:00.000,2024-01-21t10:53:00.000,ytz,,2024-01-21t11:56:00.000,2024-01-21t11:53:00.000,emirates,5803,ek5803
