Type,Status,Departure IATA Code,Departure Gate,Departure Delay (min),Scheduled Departure Time,Estimated Departure Time,Actual Departure Time,Arrival IATA Code,Arrival Terminal,Scheduled Arrival Time,Estimated Arrival Time,Airline Name,Flight Number,IATA Flight Number
departure,active,yul,c75,90,2024-01-09t08:30:00.000,2024-01-09t10:00:00.000,,mia,s,2024-01-09t12:25:00.000,,sa avianca,6951,av6951
departure,active,yul,a49,9,2024-01-09t08:30:00.000,2024-01-09t08:21:00.000,2024-01-09t08:38:00.000,yqb,,2024-01-09t09:28:00.000,2024-01-09t09:09:00.000,air canada rouge,1960,rv1960
departure,active,yul,a2,55,2024-01-09t08:30:00.000,2024-01-09t09:25:00.000,,ytz,,2024-01-09t09:56:00.000,,air canada,7955,ac7955
departure,active,yul,c87,13,2024-01-09t08:30:00.000,2024-01-09t08:51:00.000,2024-01-09t08:42:00.000,dca,1,2024-01-09t10:25:00.000,2024-01-09t10:04:00.000,united airlines,8666,ua8666
departure,active,yul,c86,21,2024-01-09t08:30:00.000,2024-01-09t08:51:00.000,,ord,2,2024-01-09t10:12:00.000,,united airlines,8371,ua8371
departure,active,yul,a30,17,2024-01-09t08:30:00.000,2024-01-09t08:32:00.000,2024-01-09t08:46:00.000,ygw,,2024-01-09t11:25:00.000,2024-01-09t11:14:00.000,air inuit,802,3h802
departure,active,yul,a66,23,2024-01-09t08:50:00.000,2024-01-09t09:00:00.000,2024-01-09t09:13:00.000,nas,a,2024-01-09t12:45:00.000,2024-01-09t12:18:00.000,air canada,938,ac938
departure,active,yul,a67,19,2024-01-09t08:50:00.000,2024-01-09t09:00:00.000,2024-01-09t09:09:00.000,lir,,2024-01-09t13:55:00.000,2024-01-09t13:35:00.000,air canada,1331,ac1331
departure,active,yul,a65,28,2024-01-09t08:50:00.000,2024-01-09t09:35:00.000,2024-01-09t09:18:00.000,zsa,,2024-01-09t12:40:00.000,2024-01-09t12:31:00.000,air canada rouge,1800,rv1800
departure,active,yul,c58,240,2024-01-09t08:55:00.000,2024-01-09t12:55:00.000,,fll,2,2024-01-09t12:51:00.000,,air canada,1002,ac1002
departure,active,yul,a59,20,2024-01-09t09:00:00.000,2024-01-09t09:04:00.000,2024-01-09t09:20:00.000,zih,a,2024-01-09t14:20:00.000,2024-01-09t14:03:00.000,air canada,1325,ac1325
departure,active,yul,a12,10,2024-01-09t09:00:00.000,2024-01-09t09:15:00.000,2024-01-09t09:10:00.000,ybg,,2024-01-09t10:11:00.000,2024-01-09t09:52:00.000,air canada,7910,ac7910
departure,active,yul,a57,35,2024-01-09t09:01:00.000,2024-01-09t09:05:00.000,2024-01-09t09:35:00.000,mex,2,2024-01-09t14:30:00.000,2024-01-09t13:31:00.000,latam airlines,7728,la7728
departure,active,yul,a48,6,2024-01-09t09:10:00.000,2024-01-09t09:05:00.000,2024-01-09t09:16:00.000,yyz,1,2024-01-09t10:46:00.000,2024-01-09t10:15:00.000,egyptair,9607,ms9607
departure,active,yul,a51,12,2024-01-09t09:10:00.000,2024-01-09t09:10:00.000,2024-01-09t09:21:00.000,hog,,2024-01-09t13:35:00.000,2024-01-09t13:05:00.000,air canada rouge,1762,rv1762
departure,active,yul,c82,14,2024-01-09t09:15:00.000,2024-01-09t09:15:00.000,2024-01-09t09:29:00.000,iad,,2024-01-09t11:30:00.000,2024-01-09t10:53:00.000,air canada,4927,ac4927
departure,active,yul,a32,20,2024-01-09t09:15:00.000,2024-01-09t09:35:00.000,,yqb,,2024-01-09t10:05:00.000,,air inuit,832,3h832
departure,active,yul,c85,13,2024-01-09t09:20:00.000,2024-01-09t09:19:00.000,2024-01-09t09:33:00.000,mco,b,2024-01-09t12:58:00.000,2024-01-09t12:27:00.000,air canada rouge,1634,rv1634
departure,active,yul,a63,46,2024-01-09t09:20:00.000,2024-01-09t10:06:00.000,,dxb,3,2024-01-10t06:30:00.000,,emirates,244,ek244
departure,active,yul,a64,8,2024-01-09t09:30:00.000,2024-01-09t09:30:00.000,2024-01-09t09:37:00.000,cun,2,2024-01-09t14:25:00.000,2024-01-09t13:57:00.000,sunwing,5219,wg5219
departure,active,yul,a8,5,2024-01-09t09:35:00.000,2024-01-09t09:35:00.000,2024-01-09t09:40:00.000,ytz,,2024-01-09t11:00:00.000,2024-01-09t10:49:00.000,air transat,7858,ts7858
departure,active,yul,a7,9,2024-01-09t09:45:00.000,2024-01-09t10:06:00.000,2024-01-09t09:54:00.000,yqy,,2024-01-09t12:36:00.000,2024-01-09t12:14:00.000,air canada,8096,ac8096
departure,active,yul,c74,70,2024-01-09t09:50:00.000,2024-01-09t11:00:00.000,,iah,a,2024-01-09t13:27:00.000,,united airlines,8706,ua8706
departure,active,yul,a34,8,2024-01-09t09:55:00.000,2024-01-09t09:55:00.000,2024-01-09t10:02:00.000,ywk,,2024-01-09t13:30:00.000,2024-01-09t13:06:00.000,pal airlines,848,pb848
departure,active,yul,a21,0,2024-01-09t10:00:00.000,2024-01-09t10:00:00.000,,yvp,,2024-01-09t12:20:00.000,,canadian north,162,5t162
departure,active,yul,a9,1,2024-01-09t10:00:00.000,2024-01-09t10:15:00.000,2024-01-09t10:00:00.000,yzv,,2024-01-09t11:41:00.000,2024-01-09t11:19:00.000,air canada,7988,ac7988
departure,active,yul,a61,20,2024-01-09t10:00:00.000,2024-01-09t09:49:00.000,2024-01-09t10:20:00.000,puj,a,2024-01-09t15:30:00.000,2024-01-09t15:20:00.000,sunwing,4261,wg4261
departure,active,yul,a47,18,2024-01-09t10:10:00.000,2024-01-09t10:15:00.000,2024-01-09t10:28:00.000,yyz,1,2024-01-09t11:46:00.000,2024-01-09t11:25:00.000,emirates,5771,ek5771
departure,active,yul,c86,19,2024-01-09t10:15:00.000,2024-01-09t10:26:00.000,2024-01-09t10:33:00.000,lga,c,2024-01-09t11:58:00.000,2024-01-09t11:24:00.000,westjet,6949,ws6949
departure,active,yul,a55,12,2024-01-09t10:15:00.000,2024-01-09t10:15:00.000,2024-01-09t10:27:00.000,mzt,a,2024-01-09t14:25:00.000,2024-01-09t14:00:00.000,sunwing,277,wg277
departure,cancelled,yul,a2,10,2024-01-09t10:30:00.000,2024-01-09t10:40:00.000,,ytz,,2024-01-09t11:56:00.000,,emirates,5803,ek5803
departure,active,yul,a28,30,2024-01-09t10:30:00.000,2024-01-09t10:30:00.000,2024-01-09t10:59:00.000,ypx,,2024-01-09t13:10:00.000,2024-01-09t13:18:00.000,air inuit,700,3h700
departure,active,yul,a15,18,2024-01-09t10:40:00.000,2024-01-09t10:55:00.000,2024-01-09t10:58:00.000,yuy,,2024-01-09t12:04:00.000,2024-01-09t12:01:00.000,air canada,7985,ac7985
departure,active,yul,c83,5,2024-01-09t10:45:00.000,2024-01-09t11:17:00.000,2024-01-09t10:49:00.000,lga,b,2024-01-09t12:31:00.000,2024-01-09t11:44:00.000,american airlines,4550,aa4550
departure,active,yul,a8,0,2024-01-09t10:45:00.000,2024-01-09t10:19:00.000,2024-01-09t10:29:00.000,ytz,,2024-01-09t12:10:00.000,2024-01-09t11:39:00.000,porter,2460,p32460
departure,active,yul,a4,3,2024-01-09t11:00:00.000,2024-01-09t11:15:00.000,2024-01-09t11:03:00.000,yow,,2024-01-09t11:49:00.000,2024-01-09t11:32:00.000,air canada,8003,ac8003
departure,active,yul,a65,15,2024-01-09t11:00:00.000,2024-01-09t10:57:00.000,2024-01-09t11:15:00.000,lir,,2024-01-09t16:00:00.000,2024-01-09t15:45:00.000,air transat,600,ts600
departure,active,yul,c82,13,2024-01-09t11:08:00.000,2024-01-09t11:08:00.000,2024-01-09t11:21:00.000,ewr,c,2024-01-09t13:11:00.000,2024-01-09t12:13:00.000,air canada,4604,ac4604
departure,active,yul,a47,50,2024-01-09t11:10:00.000,2024-01-09t12:00:00.000,,yyz,1,2024-01-09t12:46:00.000,,sa avianca,6900,av6900
departure,active,yul,a51,31,2024-01-09t11:10:00.000,2024-01-09t11:10:00.000,2024-01-09t11:40:00.000,sdq,,2024-01-09t16:55:00.000,2024-01-09t16:52:00.000,flycana,723,dw723
departure,cancelled,yul,a47,10,2024-01-09t12:10:00.000,2024-01-09t12:20:00.000,,yyz,1,2024-01-09t13:36:00.000,,sa avianca,6919,av6919
departure,active,yul,c84,12,2024-01-09t12:20:00.000,2024-01-09t12:20:00.000,2024-01-09t12:31:00.000,jfk,4,2024-01-09t14:02:00.000,2024-01-09t13:26:00.000,air france,6856,af6856
departure,active,yul,a8,0,2024-01-09t12:25:00.000,2024-01-09t12:25:00.000,,ytz,,2024-01-09t13:50:00.000,,air transat,7866,ts7866
