Status,Departure Gate,Arrival IATA Code,Scheduled Departure Time,Departure Delay (min),Airline Name,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Rain 1h,Snow 1h
landed,A64,BGI,2024-02-11 09:00:00,9.0,Air Canada,2.51,0.21,1009,82,2.24,248,100,Clouds,0.0,0.0
landed,C74,BOS,2024-02-11 08:00:00,18.0,Air Canada,2.78,1.03,1009,82,1.79,270,100,Clouds,0.0,0.0
landed,C76,BOS,2024-02-11 13:00:00,35.0,Air Canada,1.92,-1.3,1011,82,3.13,248,99,Clouds,0.0,0.0
landed,C83,BOS,2024-02-11 16:00:00,40.0,Air Canada,2.77,-2.63,1011,74,7.72,260,100,Clouds,0.0,0.0
landed,A50,BRU,2024-02-11 18:00:00,69.0,Air Canada,3.06,-0.54,1011,75,4.02,270,83,Clouds,0.0,0.0
scheduled,,BUF,2024-02-11 16:00:00,6.0,NetJets Aviation,2.77,-2.63,1011,74,7.72,260,100,Clouds,0.0,0.0
scheduled,,BWI,2024-02-11 16:00:00,6.0,NetJets Aviation,2.77,-2.63,1011,74,7.72,260,100,Clouds,0.0,0.0
landed,,BWI,2024-02-11 16:00:00,7.0,NetJets Aviation,2.77,-2.63,1011,74,7.72,260,100,Clouds,0.0,0.0
active,A63,CCC,2024-02-11 15:00:00,22.0,Air Canada Rouge,2.67,-2.36,1011,76,6.69,260,100,Clouds,0.0,0.0
scheduled,A66,CCC,2024-02-11 16:00:00,83.0,Air Transat,2.77,-2.63,1011,74,7.72,260,100,Clouds,0.0,0.0
active,A65,CCC,2024-02-11 06:00:00,18.0,Sunwing,3.12,0.92,1008,83,2.24,270,98,Clouds,0.0,0.0
landed,A56,CDG,2024-02-11 21:00:00,24.0,Air Canada,2.45,-0.66,1012,76,3.13,270,100,Clouds,0.0,0.0
landed,57,CDG,2024-02-11 17:00:00,13.0,Air France,2.87,0.21,1011,75,2.68,270,81,Clouds,0.0,0.0
landed,55,CDG,2024-02-11 19:00:00,7.0,Air France,2.71,-0.68,1011,76,3.58,248,100,Clouds,0.0,0.0
landed,A65,CDG,2024-02-11 20:00:00,12.0,Air Transat,2.53,-0.19,1011,75,2.68,248,100,Clouds,0.0,0.0
landed,C81,CLT,2024-02-11 14:00:00,39.0,American Airlines,2.13,-1.38,1011,81,3.58,248,88,Clouds,0.0,0.0
landed,C83,CLT,2024-02-11 07:00:00,23.0,American Airlines,3.14,0.17,1008,83,3.13,270,100,Clouds,0.0,0.0
landed,,CMH,2024-02-11 12:00:00,10.0,empty,2.03,-0.36,1010,83,2.24,270,99,Clouds,0.0,0.0
cancelled,,CMH,2024-02-11 11:00:00,10.0,NetJets Aviation,1.99,-2.57,1010,84,5.28,261,99,Clouds,0.0,0.0
landed,A52,CMN,2024-02-11 18:00:00,20.0,Air Canada,3.06,-0.54,1011,75,4.02,270,83,Clouds,0.0,0.0
landed,A58,CMN,2024-02-11 20:00:00,45.0,Royal Air Maroc,2.53,-0.19,1011,75,2.68,248,100,Clouds,0.0,0.0
landed,A57,CUN,2024-02-11 08:00:00,3.0,Air Canada,2.78,1.03,1009,82,1.79,270,100,Clouds,0.0,0.0
landed,A59,CUN,2024-02-11 13:00:00,14.0,Flair Airlines,1.92,-1.3,1011,82,3.13,248,99,Clouds,0.0,0.0
landed,A61,CUN,2024-02-11 17:00:00,53.0,Air Canada Rouge,2.87,0.21,1011,75,2.68,270,81,Clouds,0.0,0.0
landed,A61,CUN,2024-02-11 07:00:00,15.0,Air Transat,3.14,0.17,1008,83,3.13,270,100,Clouds,0.0,0.0
landed,A51,CUN,2024-02-11 14:00:00,29.0,Air Transat,2.13,-1.38,1011,81,3.58,248,88,Clouds,0.0,0.0
landed,A63,CUN,2024-02-11 06:00:00,18.0,Sunwing,3.12,0.92,1008,83,2.24,270,98,Clouds,0.0,0.0
landed,A59,CUN,2024-02-11 09:00:00,15.0,Sunwing,2.51,0.21,1009,82,2.24,248,100,Clouds,0.0,0.0
landed,A52,CUR,2024-02-11 09:00:00,20.0,Air Canada Rouge,2.51,0.21,1009,82,2.24,248,100,Clouds,0.0,0.0
