Flight Status,Departure Airport,Departure Gate,Arrival IATA Code,Scheduled Departure,Actual Departure,Delay (in Minutes),Airline Name,Flight Number,Timestamp,Temperature,Feels Like,Pressure,Humidity,Wind Speed,Wind Degree,Clouds,Weather Main,Weather Description,Rain 1h,Snow 1h
landed,YUL,A63,GRU,2024-02-25 21:00:00,2024-02-25 21:00:00,34.0,Air Canada,AC96,2024-02-25 21:00:00,0.56,-0.86,1012,57,1.34,158,92,Clouds,overcast clouds,0.0,0.0
landed,YUL,A50,GVA,2024-02-25 20:00:00,2024-02-25 20:00:00,27.0,Air Canada,AC884,2024-02-25 20:00:00,0.98,-1.05,1013,56,1.79,158,98,Clouds,overcast clouds,0.0,0.0
active,YUL,A64,HOG,2024-02-25 07:00:00,2024-02-25 07:00:00,36.0,Air Transat,TS2356,2024-02-25 07:00:00,-12.64,-12.64,1018,68,0.89,248,16,Clouds,few clouds,0.0,0.0
active,YUL,A68,HOG,2024-02-25 16:00:00,,40.0,Sunwing,WG644,2024-02-25 16:00:00,-2.96,-5.6,1017,60,1.79,203,30,Clouds,scattered clouds,0.0,0.0
active,YUL,C74,IAD,2024-02-25 13:00:00,2024-02-25 13:00:00,16.0,Air Canada,AC8723,2024-02-25 13:00:00,-9.5,-9.5,1018,71,0.89,180,15,Clouds,few clouds,0.0,0.0
landed,YUL,C82,IAD,2024-02-25 09:00:00,2024-02-25 09:00:00,25.0,United Airlines,UA3413,2024-02-25 09:00:00,-12.44,-17.73,1018,74,2.48,228,45,Clouds,scattered clouds,0.0,0.0
active,YUL,80,IAD,2024-02-25 18:00:00,2024-02-25 18:00:00,27.0,United Airlines,UA3574,2024-02-25 18:00:00,-0.43,-2.68,1014,60,1.79,135,28,Clouds,scattered clouds,0.0,0.0
landed,YUL,C76,IAH,2024-02-25 09:00:00,2024-02-25 10:00:00,32.0,Air Canada,AC581,2024-02-25 09:00:00,-12.44,-17.73,1018,74,2.48,228,45,Clouds,scattered clouds,0.0,0.0
landed,YUL,,IST,2024-02-25 20:00:00,2024-02-25 20:00:00,28.0,Turkish Airlines,TK36,2024-02-25 20:00:00,0.98,-1.05,1013,56,1.79,158,98,Clouds,overcast clouds,0.0,0.0
active,YUL,C85,JFK,2024-02-25 18:00:00,2024-02-25 19:00:00,44.0,Air Canada,AC8898,2024-02-25 18:00:00,-0.43,-2.68,1014,60,1.79,135,28,Clouds,scattered clouds,0.0,0.0
active,YUL,C86,JFK,2024-02-25 12:00:00,2024-02-25 12:00:00,20.0,Delta Air Lines,DL5088,2024-02-25 12:00:00,-12.02,-17.77,1018,78,2.87,184,42,Clouds,scattered clouds,0.0,0.0
active,YUL,C86,JFK,2024-02-25 17:00:00,,19.0,Delta Air Lines,DL5151,2024-02-25 17:00:00,-1.48,-4.48,1016,61,2.24,203,30,Clouds,scattered clouds,0.0,0.0
scheduled,YUL,C80,LAS,2024-02-25 08:00:00,2024-02-25 09:00:00,78.0,Air Canada Rouge,RV1707,2024-02-25 08:00:00,-12.2,-12.2,1018,70,0.89,270,18,Clouds,few clouds,0.0,0.0
scheduled,YUL,C83,LAX,2024-02-25 17:00:00,,173.0,Air Canada,AC775,2024-02-25 17:00:00,-1.48,-4.48,1016,61,2.24,203,30,Clouds,scattered clouds,0.0,0.0
landed,YUL,A65,AGP,2024-03-23 20:00:00,2024-03-23 20:00:00,29.0,Air Transat,TS252,2024-03-23 20:00:00,-6.61,-9.82,1020,86,1.79,0,100,Snow,light snow,0.0,0.14
landed,YUL,A68,ALG,2024-03-23 16:00:00,2024-03-23 16:00:00,40.0,Air Algerie,AH2701,2024-03-23 16:00:00,-6.63,-13.63,1022,89,7.2,30,100,Snow,snow,0.0,0.56
landed,YUL,C87,ATL,2024-03-23 18:00:00,2024-03-23 19:00:00,55.0,Air Canada,AC8569,2024-03-23 18:00:00,-6.64,-13.64,1020,85,10.29,30,100,Snow,light snow,0.0,0.24
landed,YUL,C84,ATL,2024-03-23 07:00:00,2024-03-23 07:00:00,42.0,Delta Air Lines,DL1526,2024-03-23 07:00:00,-5.48,-10.67,1025,67,3.6,100,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,C86,ATL,2024-03-23 15:00:00,2024-03-23 15:00:00,60.0,Delta Air Lines,DL2176,2024-03-23 15:00:00,-6.68,-13.68,1022,90,7.72,20,75,Snow,snow,0.0,0.69
active,YUL,A58,AZS,2024-03-23 14:00:00,,20.0,Air Canada Rouge,RV1744,2024-03-23 14:00:00,-6.81,-13.81,1023,91,5.66,50,100,Snow,snow,0.0,0.59
landed,YUL,,BDA,2024-03-23 11:00:00,2024-03-23 11:00:00,3.0,Flexjet,LXJ658,2024-03-23 11:00:00,-6.86,-13.86,1024,88,6.69,50,100,Snow,light snow,0.0,0.45
landed,YUL,A58,BOG,2024-03-23 22:00:00,2024-03-23 23:00:00,32.0,Air Canada,AC98,2024-03-23 22:00:00,-6.39,-13.39,1020,86,6.17,10,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,,BOS,2024-03-23 15:00:00,2024-03-23 15:00:00,,NetJets Aviation,1I539,2024-03-23 15:00:00,-6.68,-13.68,1022,90,7.72,20,75,Snow,snow,0.0,0.69
landed,YUL,C86,BOS,2024-03-23 08:00:00,2024-03-23 08:00:00,42.0,Air Canada,AC748,2024-03-23 08:00:00,-6.31,-11.68,1025,81,3.6,110,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,C84,BOS,2024-03-23 16:00:00,2024-03-23 17:00:00,31.0,Air Canada,AC752,2024-03-23 16:00:00,-6.63,-13.63,1022,89,7.2,30,100,Snow,snow,0.0,0.56
landed,YUL,C76,BOS,2024-03-23 13:00:00,2024-03-23 13:00:00,37.0,Air Canada,AC8606,2024-03-23 13:00:00,-6.75,-13.75,1023,91,8.23,40,100,Snow,snow,0.0,0.55
landed,YUL,A57,BRU,2024-03-23 19:00:00,2024-03-23 20:00:00,52.0,Air Canada,AC832,2024-03-23 19:00:00,-6.54,-9.74,1020,84,1.79,0,100,Snow,light snow,0.0,0.2
landed,YUL,,BWI,2024-03-23 17:00:00,2024-03-23 19:00:00,124.0,Airsprint,,2024-03-23 17:00:00,-6.57,-13.57,1021,85,9.26,20,100,Snow,light snow,0.0,0.44
scheduled,YUL,A67,CCC,2024-03-23 14:00:00,2024-03-23 15:00:00,45.0,Air Transat,TS856,2024-03-23 14:00:00,-6.81,-13.81,1023,91,5.66,50,100,Snow,snow,0.0,0.59
scheduled,YUL,A67,CCC,2024-03-23 17:00:00,2024-03-23 19:00:00,171.0,Sunwing,WG606,2024-03-23 17:00:00,-6.57,-13.57,1021,85,9.26,20,100,Snow,light snow,0.0,0.44
landed,YUL,A51,CDG,2024-03-23 22:00:00,2024-03-23 23:00:00,39.0,Air Canada,AC870,2024-03-23 22:00:00,-6.39,-13.39,1020,86,6.17,10,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,A60,CDG,2024-03-23 19:00:00,2024-03-23 19:00:00,15.0,Air Canada,AC874,2024-03-23 19:00:00,-6.54,-9.74,1020,84,1.79,0,100,Snow,light snow,0.0,0.2
landed,YUL,A57,CDG,2024-03-23 18:00:00,2024-03-23 19:00:00,76.0,Air France,AF345,2024-03-23 18:00:00,-6.64,-13.64,1020,85,10.29,30,100,Snow,light snow,0.0,0.24
landed,YUL,55,CDG,2024-03-23 20:00:00,2024-03-23 21:00:00,81.0,Air France,AF347,2024-03-23 20:00:00,-6.61,-9.82,1020,86,1.79,0,100,Snow,light snow,0.0,0.14
landed,YUL,A63,CDG,2024-03-23 20:00:00,2024-03-23 20:00:00,27.0,Air Transat,TS110,2024-03-23 20:00:00,-6.61,-9.82,1020,86,1.79,0,100,Snow,light snow,0.0,0.14
landed,YUL,C81,CLT,2024-03-23 14:00:00,2024-03-23 15:00:00,60.0,American Airlines,AA5029,2024-03-23 14:00:00,-6.81,-13.81,1023,91,5.66,50,100,Snow,snow,0.0,0.59
landed,YUL,C85,CLT,2024-03-23 07:00:00,2024-03-23 08:00:00,63.0,American Airlines,AA5037,2024-03-23 07:00:00,-5.48,-10.67,1025,67,3.6,100,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,A60,CMN,2024-03-23 21:00:00,2024-03-23 22:00:00,42.0,Royal Air Maroc,AT209,2024-03-23 21:00:00,-6.42,-13.42,1020,84,8.23,20,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,A65,CTG,2024-03-23 09:00:00,2024-03-23 10:00:00,37.0,Air Transat,TS198,2024-03-23 09:00:00,-6.53,-12.41,1024,87,4.12,60,100,Snow,light snow,0.0,0.1
cancelled,YUL,A55,CUN,2024-03-23 08:00:00,,258.0,Air Canada,AC926,2024-03-23 08:00:00,-6.31,-11.68,1025,81,3.6,110,100,Clouds,overcast clouds,0.0,0.0
scheduled,YUL,A61,CUN,2024-03-23 13:00:00,2024-03-23 15:00:00,146.0,Flair Airlines,F82100,2024-03-23 13:00:00,-6.75,-13.75,1023,91,8.23,40,100,Snow,snow,0.0,0.55
landed,YUL,A66,CUN,2024-03-23 17:00:00,2024-03-23 18:00:00,75.0,Air Canada Rouge,RV1884,2024-03-23 17:00:00,-6.57,-13.57,1021,85,9.26,20,100,Snow,light snow,0.0,0.44
landed,YUL,A65,CUN,2024-03-23 07:00:00,2024-03-23 08:00:00,50.0,Air Transat,TS538,2024-03-23 07:00:00,-5.48,-10.67,1025,67,3.6,100,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,A63,CUN,2024-03-23 14:00:00,2024-03-23 15:00:00,39.0,Air Transat,TS938,2024-03-23 14:00:00,-6.81,-13.81,1023,91,5.66,50,100,Snow,snow,0.0,0.59
scheduled,YUL,A61,CUN,2024-03-23 09:00:00,2024-03-23 10:00:00,72.0,Sunwing,WG5619,2024-03-23 09:00:00,-6.53,-12.41,1024,87,4.12,60,100,Snow,light snow,0.0,0.1
scheduled,YUL,,DCA,2024-03-23 13:00:00,,36.0,empty,,2024-03-23 13:00:00,-6.75,-13.75,1023,91,8.23,40,100,Snow,snow,0.0,0.55
scheduled,YUL,,DCA,2024-03-23 13:00:00,2024-03-23 15:00:00,87.0,Air Canada,AC823,2024-03-23 13:00:00,-6.75,-13.75,1023,91,8.23,40,100,Snow,snow,0.0,0.55
landed,YUL,C85,DCA,2024-03-23 08:00:00,2024-03-23 09:00:00,54.0,Air Canada,AC8821,2024-03-23 08:00:00,-6.31,-11.68,1025,81,3.6,110,100,Clouds,overcast clouds,0.0,0.0
scheduled,YUL,C84,DCA,2024-03-23 13:00:00,,21.0,Air Canada,AC8823,2024-03-23 13:00:00,-6.75,-13.75,1023,91,8.23,40,100,Snow,snow,0.0,0.55
landed,YUL,C88,DCA,2024-03-23 19:00:00,2024-03-23 20:00:00,19.0,Air Canada,AC8825,2024-03-23 19:00:00,-6.54,-9.74,1020,84,1.79,0,100,Snow,light snow,0.0,0.2
scheduled,YUL,,DCA,2024-03-23 13:00:00,,21.0,Jazz,QK823,2024-03-23 13:00:00,-6.75,-13.75,1023,91,8.23,40,100,Snow,snow,0.0,0.55
landed,YUL,C80,DEN,2024-03-23 08:00:00,2024-03-23 09:00:00,74.0,Air Canada,AC1073,2024-03-23 08:00:00,-6.31,-11.68,1025,81,3.6,110,100,Clouds,overcast clouds,0.0,0.0
scheduled,YUL,C81,DFW,2024-03-23 15:00:00,2024-03-23 18:00:00,153.0,American Airlines,AA1964,2024-03-23 15:00:00,-6.68,-13.68,1022,90,7.72,20,75,Snow,snow,0.0,0.69
landed,YUL,C75,DFW,2024-03-23 18:00:00,2024-03-23 19:00:00,48.0,Air Canada,AC1071,2024-03-23 18:00:00,-6.64,-13.64,1020,85,10.29,30,100,Snow,light snow,0.0,0.24
landed,YUL,A57,DOH,2024-03-23 21:00:00,2024-03-23 22:00:00,52.0,Qatar Airways,QR764,2024-03-23 21:00:00,-6.42,-13.42,1020,84,8.23,20,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,C89,DTW,2024-03-23 13:00:00,2024-03-23 13:00:00,29.0,Air Canada,AC8581,2024-03-23 13:00:00,-6.75,-13.75,1023,91,8.23,40,100,Snow,snow,0.0,0.55
landed,YUL,C88,DTW,2024-03-23 07:00:00,2024-03-23 07:00:00,37.0,Delta Air Lines,DL4933,2024-03-23 07:00:00,-5.48,-10.67,1025,67,3.6,100,100,Clouds,overcast clouds,0.0,0.0
landed,YUL,C86,DTW,2024-03-23 13:00:00,2024-03-23 13:00:00,48.0,Delta Air Lines,DL5139,2024-03-23 13:00:00,-6.75,-13.75,1023,91,8.23,40,100,Snow,snow,0.0,0.55
